_id,名称,产国,大类,类型
1,苏-27战斗机,苏/俄,飞行器,战斗机
2,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏/俄,飞行器,战斗机
3,歼-31战斗机,中国,飞行器,战斗机
4,FC-1“枭龙”/JF-17“雷电”多用途攻击机,中国,飞行器,战斗机
5,F-35“闪电II”,美国,飞行器,战斗机
6,F-16“战隼”,美国,飞行器,战斗机
7,歼-20战斗机,中国,飞行器,战斗机
8,歼-11战斗机,中国,飞行器,战斗机
9,LCA战斗机,印度,飞行器,战斗机
10,F-15鹰式战斗机,美国,飞行器,战斗机
11,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,美国,飞行器,战斗机
12,歼-16战机,中国,飞行器,战斗机
13,AMX攻击战斗机,巴西,飞行器,战斗机
14,歼-7型战斗机,中国,飞行器,战斗机
15,P-39“空中眼镜蛇”,美国,飞行器,战斗机
16,“鹰”200轻型多用途战斗机,英国,飞行器,战斗机
17,XP-26“玩具枪”单座单翼战斗机,美国,飞行器,战斗机
18,P-51A,美国,飞行器,战斗机
19,波音PW-9单座单发双翼战斗机,美国,飞行器,战斗机
20,F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,美国,飞行器,战斗机
21,波音FB-1,美国,飞行器,战斗机
22,SE 5a/E战斗机,美国,飞行器,战斗机
23,P-59“空中彗星”战斗机,美国,飞行器,战斗机
24,贝尔P-63“眼镜蛇王”单翼战斗机,美国,飞行器,战斗机
25,苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,苏/俄,飞行器,战斗机
26,EF2000“台风”战斗机,英国,飞行器,战斗机
27,波音F4B-1战斗机,美国,飞行器,战斗机
28,“幻影”2000防空／多用途战斗机,法国,飞行器,战斗机
29,幻影F1战斗机,法国,飞行器,战斗机
30,“幻影”Ⅲ/5/50喷气战斗机,法国,飞行器,战斗机
31,阵风战斗机,法国,飞行器,战斗机
32,波音F2B-1战斗机,美国,飞行器,战斗机
33,“幻影”2000D/N攻击机,法国,飞行器,战斗机
34,F9F战斗机,美国,飞行器,战斗机
35,EMB-314M（A-29）“超巨嘴鸟” ,巴西,飞行器,战斗机
36,歼-10战斗机,中国,飞行器,战斗机
37,F/A-18A-D“大黄蜂”,美国,飞行器,战斗机
38,F3D/F-10“空中骑士”,美国,飞行器,战斗机
39,F-80/TO/TV“流星”喷射战斗机,美国,飞行器,战斗机
40,F9F-9“美洲狮”轰炸机,美国,飞行器,战斗机
41,FD/FH“鬼怪”,美国,飞行器,战斗机
42,洛克希德F-104“星战斗机”,美国,飞行器,战斗机
43,F-117“夜鹰”,美国,飞行器,战斗机
44,F-100“超佩刀” 战斗轰炸机,美国,飞行器,战斗机
45,F4D/F-6“天光”战斗机,美国,飞行器,战斗机
46,F-94“星火”战斗机,美国,飞行器,战斗机
47,F-14“雄猫”战斗机,美国,飞行器,战斗机
48,"F11F/F-11'“虎""",美国,飞行器,战斗机
49,F-15A-D“鹰”,美国,飞行器,战斗机
50,F-22“猛禽”战斗机,美国,飞行器,战斗机
51,F-86D/K/L “佩刀猛犬”,美国,飞行器,战斗机
52,F2H/F-2“女妖”,美国,飞行器,战斗机
53,F-82“双野马”,美国,飞行器,战斗机
54,FJ/F-1“狂怒”,美国,飞行器,战斗机
55,F7U“弯刀”,美国,飞行器,战斗机
56,F/RF/86A-H “佩刀”,美国,飞行器,战斗机
57,F3H/F-3“恶魔”,美国,飞行器,战斗机
58,F/RF-101E“魔术师”,美国,飞行器,战斗机
59,L-17/U-18“纳维翁” 联络机/通用机,美国,飞行器,战斗机
60,F-4“鬼怪Ⅱ”,美国,飞行器,战斗机
61,F8U/F-8“十字军战士”,美国,飞行器,战斗机
62,FR“火球”,美国,飞行器,战斗机
63,F6F“泼妇”,美国,飞行器,战斗机
64,F-5E“虎II”,美国,飞行器,战斗机
65,F/RF-84F“雷电”,美国,飞行器,战斗机
66,F-105“雷公”战斗轰炸机,美国,飞行器,战斗机
67,F-84“雷电喷气”,美国,飞行器,战斗机
68,P-40“战斧”,美国,飞行器,战斗机
69,P-40 “战鹰/小鹰”,美国,飞行器,战斗机
70,F-5A/B“自由战士,美国,飞行器,战斗机
71,F6U“海盗船”,美国,飞行器,战斗机
72,F-89“蝎子”,美国,飞行器,战斗机
73,格鲁曼FF/SF,美国,飞行器,战斗机
74,P-35A,美国,飞行器,战斗机
75,P-61“黑寡妇”战斗机,美国,飞行器,战斗机
76,P-51B/C“野马”,美国,飞行器,战斗机
77,F-106“三角标枪”截击机,美国,飞行器,战斗机
78,P-38“闪电”,美国,飞行器,战斗机
79,F4U/FG-1“海盗”,美国,飞行器,战斗机
80,F-102“三角剑”截击战斗机,美国,飞行器,战斗机
81,F7F“虎猫”战斗机,美国,飞行器,战斗机
82,P-47“雷电”战斗机,美国,飞行器,战斗机
83,P-51D/K“野马”,美国,飞行器,战斗机
84,F4F/FM“野猫”战斗机,美国,飞行器,战斗机
85,共和43“长矛”,美国,飞行器,战斗机
86,AT-12“卫兵”,美国,飞行器,战斗机
87,格鲁曼F2F/F3F,美国,飞行器,战斗机
88,NA-50/-68和P-64,美国,飞行器,战斗机
89,苏-35/苏-37“侧卫-E”  全天候防空战斗机,苏/俄,飞行器,战斗机
90,歼-7系列战斗机,中国,飞行器,战斗机
91,歼-8系列战斗机,中国,飞行器,战斗机
92,歼-5战斗机,中国,飞行器,战斗机
93,米格-29“支点”战斗机,苏/俄,飞行器,战斗机
94,MB-3,美国,飞行器,战斗机
95,苏-24“击剑手”战斗轰炸机,苏/俄,飞行器,战斗机
96,歼-6系列战斗机,中国,飞行器,战斗机
97,歼-9战斗机,中国,飞行器,战斗机
98,苏-25改进型/苏-25TM/苏-39,苏/俄,飞行器,战斗机
99,J-10B战斗机,中国,飞行器,战斗机
100,歼-7B/M型 战斗机,中国,飞行器,战斗机
101,FW-190“百舌鸟”战斗机,德国,飞行器,战斗机
102,歼-15战斗机,中国,飞行器,战斗机
103,歼-12战斗机,中国,飞行器,战斗机
104,ME-109战斗机,德国,飞行器,战斗机
105,米格-25战斗机,苏/俄,飞行器,战斗机
106,T-50战斗机,苏/俄,飞行器,战斗机
107,歼-11B战斗机 ,中国,飞行器,战斗机
108,歼-11BS战斗机 ,中国,飞行器,战斗机
109,XF-88战斗机,美国,飞行器,战斗机
110,J7W1震电战斗机,日本,飞行器,战斗机
111,Ki-45屠龙/2式复座战斗机 ,日本,飞行器,战斗机
112,Ar 68战斗机,德国,飞行器,战斗机
113,J6K1 阵风 陆上战斗机,日本,飞行器,战斗机
114,J1N1/2式夜间战斗机,日本,飞行器,战斗机
115,J2M雷电局地战斗机,日本,飞行器,战斗机
116,信天翁D．Ⅲ,德国,飞行器,战斗机
117,A2N/90式舰上战斗机,日本,飞行器,战斗机
118,Hs 124战斗机,德国,飞行器,战斗机
119,J8M1秋水局地战斗机 ,日本,飞行器,战斗机
120,A6M2-N/二式水上战斗机,日本,飞行器,战斗机
121,Me 263战斗机,德国,飞行器,战斗机
122,1MF/10式舰上战斗机,日本,飞行器,战斗机
123,Bf 108台风式飞机,德国,飞行器,战斗机
124,He100战斗机,德国,飞行器,战斗机
125,Ki-201火龙战斗机,日本,飞行器,战斗机
126,Ki-43隼/1式,日本,飞行器,战斗机
