Name,relation,type
苏-27战斗机,InstanceOf,战斗机
苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,InstanceOf,战斗机
歼-31战斗机,InstanceOf,战斗机
FC-1“枭龙”/JF-17“雷电”多用途攻击机,InstanceOf,战斗机
F-35“闪电II”,InstanceOf,战斗机
F-16“战隼”,InstanceOf,战斗机
歼-20战斗机,InstanceOf,战斗机
歼-11战斗机,InstanceOf,战斗机
LCA战斗机,InstanceOf,战斗机
F-15鹰式战斗机,InstanceOf,战斗机
麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,InstanceOf,战斗机
歼-16战机,InstanceOf,战斗机
AMX攻击战斗机,InstanceOf,战斗机
歼-7型战斗机,InstanceOf,战斗机
P-39“空中眼镜蛇”,InstanceOf,战斗机
“鹰”200轻型多用途战斗机,InstanceOf,战斗机
XP-26“玩具枪”单座单翼战斗机,InstanceOf,战斗机
P-51A,InstanceOf,战斗机
波音PW-9单座单发双翼战斗机,InstanceOf,战斗机
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,InstanceOf,战斗机
波音FB-1,InstanceOf,战斗机
SE 5a/E战斗机,InstanceOf,战斗机
P-59“空中彗星”战斗机,InstanceOf,战斗机
贝尔P-63“眼镜蛇王”单翼战斗机,InstanceOf,战斗机
苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,InstanceOf,战斗机
EF2000“台风”战斗机,InstanceOf,战斗机
波音F4B-1战斗机,InstanceOf,战斗机
“幻影”2000防空／多用途战斗机,InstanceOf,战斗机
幻影F1战斗机,InstanceOf,战斗机
“幻影”Ⅲ/5/50喷气战斗机,InstanceOf,战斗机
阵风战斗机,InstanceOf,战斗机
波音F2B-1战斗机,InstanceOf,战斗机
“幻影”2000D/N攻击机,InstanceOf,战斗机
F9F战斗机,InstanceOf,战斗机
EMB-314M（A-29）“超巨嘴鸟” ,InstanceOf,战斗机
歼-10战斗机,InstanceOf,战斗机
F/A-18A-D“大黄蜂”,InstanceOf,战斗机
F3D/F-10“空中骑士”,InstanceOf,战斗机
F-80/TO/TV“流星”喷射战斗机,InstanceOf,战斗机
F9F-9“美洲狮”轰炸机,InstanceOf,战斗机
FD/FH“鬼怪”,InstanceOf,战斗机
洛克希德F-104“星战斗机”,InstanceOf,战斗机
F-117“夜鹰”,InstanceOf,战斗机
F-100“超佩刀” 战斗轰炸机,InstanceOf,战斗机
F4D/F-6“天光”战斗机,InstanceOf,战斗机
F-94“星火”战斗机,InstanceOf,战斗机
F-14“雄猫”战斗机,InstanceOf,战斗机
"F11F/F-11'“虎""",InstanceOf,战斗机
F-15A-D“鹰”,InstanceOf,战斗机
F-22“猛禽”战斗机,InstanceOf,战斗机
F-86D/K/L “佩刀猛犬”,InstanceOf,战斗机
F2H/F-2“女妖”,InstanceOf,战斗机
F-82“双野马”,InstanceOf,战斗机
FJ/F-1“狂怒”,InstanceOf,战斗机
F7U“弯刀”,InstanceOf,战斗机
F/RF/86A-H “佩刀”,InstanceOf,战斗机
F3H/F-3“恶魔”,InstanceOf,战斗机
F/RF-101E“魔术师”,InstanceOf,战斗机
L-17/U-18“纳维翁” 联络机/通用机,InstanceOf,战斗机
F-4“鬼怪Ⅱ”,InstanceOf,战斗机
F8U/F-8“十字军战士”,InstanceOf,战斗机
FR“火球”,InstanceOf,战斗机
F6F“泼妇”,InstanceOf,战斗机
F-5E“虎II”,InstanceOf,战斗机
F/RF-84F“雷电”,InstanceOf,战斗机
F-105“雷公”战斗轰炸机,InstanceOf,战斗机
F-84“雷电喷气”,InstanceOf,战斗机
P-40“战斧”,InstanceOf,战斗机
P-40 “战鹰/小鹰”,InstanceOf,战斗机
F-5A/B“自由战士,InstanceOf,战斗机
F6U“海盗船”,InstanceOf,战斗机
F-89“蝎子”,InstanceOf,战斗机
格鲁曼FF/SF,InstanceOf,战斗机
P-35A,InstanceOf,战斗机
P-61“黑寡妇”战斗机,InstanceOf,战斗机
P-51B/C“野马”,InstanceOf,战斗机
F-106“三角标枪”截击机,InstanceOf,战斗机
P-38“闪电”,InstanceOf,战斗机
F4U/FG-1“海盗”,InstanceOf,战斗机
F-102“三角剑”截击战斗机,InstanceOf,战斗机
F7F“虎猫”战斗机,InstanceOf,战斗机
P-47“雷电”战斗机,InstanceOf,战斗机
P-51D/K“野马”,InstanceOf,战斗机
F4F/FM“野猫”战斗机,InstanceOf,战斗机
共和43“长矛”,InstanceOf,战斗机
AT-12“卫兵”,InstanceOf,战斗机
